,,Neighborhood Code,Neighborhood Name,Total Population,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,,Hispanic Origin (of any race)
Manhattan,061,MN04,Hamilton Heights,"48,520","5,287","15,646",119,"1,067",15,178,884,"25,324"
Manhattan,061,MN06,Manhattanville,"22,950","1,710","5,918",77,496,5,76,255,"14,413"
Manhattan,061,MN09,Morningside Heights,"55,929","25,750","7,619",105,"7,462",30,203,"1,605","13,155"
Manhattan,061,MN11,Central Harlem South,"43,383","6,978","24,241",111,"1,536",26,177,"1,169","9,145"
Manhattan,061,MN12,Upper West Side,"132,378","89,632","11,146",136,"7,888",34,445,"2,632","20,465"
Manhattan,061,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,"70,150","45,661","4,017",93,"8,267",21,261,"1,587","10,243"
Manhattan,061,MN14,Lincoln Square,"61,489","45,103","2,710",58,"6,916",14,175,"1,196","5,317"
Manhattan,061,MN15,Clinton,"45,884","25,891","2,869",70,"6,886",31,181,"1,079","8,877"
Manhattan,061,MN17,Midtown-Midtown South,"28,630","18,351","1,310",34,"5,942",8,92,569,"2,324"
Manhattan,061,MN19,Turtle Bay-East Midtown,"51,231","39,475","1,071",23,"6,655",21,184,845,"2,957"
Manhattan,061,MN20,Murray Hill-Kips Bay,"50,742","33,818","2,423",55,"8,233",16,181,"1,008","5,008"
Manhattan,061,MN21,Gramercy,"27,988","20,623",923,19,"3,740",10,77,573,"2,023"
Manhattan,061,MN22,East Village,"44,136","28,888","1,743",64,"6,560",22,182,"1,214","5,463"
Manhattan,061,MN23,West Village,"66,880","54,100","1,353",50,"5,453",20,236,"1,614","4,054"
Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,"42,742","28,250",934,30,"9,478",11,171,"1,098","2,770"
Manhattan,061,MN25,Battery Park City-Lower Manhattan,"39,699","25,965","1,288",35,"8,016",17,153,"1,170","3,055"
Manhattan,061,MN27,Chinatown,"47,844","7,817","2,285",38,"30,559",11,75,639,"6,420"
Manhattan,061,MN28,Lower East Side,"72,957","16,453","7,931",142,"18,166",13,191,"1,191","28,870"
Manhattan,061,MN31,Lenox Hill-Roosevelt Island,"80,771","60,831","3,571",57,"8,569",61,262,"1,558","5,862"
Manhattan,061,MN32,Yorkville,"77,942","59,233","2,858",51,"7,226",25,216,"1,466","6,867"
Manhattan,061,MN33,East Harlem South,"57,902","10,072","14,227",96,"4,802",55,218,933,"27,499"
Manhattan,061,MN34,East Harlem North,"58,019","3,936","20,625",128,"1,766",9,185,769,"30,601"
Manhattan,061,MN35,Washington Heights North,"67,136","17,305","2,738",58,"1,701",10,213,701,"44,410"
Manhattan,061,MN36,Washington Heights South,"84,438","9,501","8,827",122,"2,303",5,304,845,"62,531"
Manhattan,061,MN40,Upper East Side-Carnegie Hill,"61,207","53,647",669,18,"3,052",12,131,844,"2,834"
Manhattan,061,MN50,Stuyvesant Town-Cooper Village,"21,049","15,600",751,23,"2,662",6,63,539,"1,405"
Manhattan,061,MN99,park-cemetery-etc-Manhattan,"1,849",212,914,12,36,0,1,34,640
Queens,081,QN01,South Jamaica,"38,894",378,"28,084",316,"2,018",43,972,"1,166","5,917"
Queens,081,QN02,Springfield Gardens North,"25,409",192,"22,642",69,212,10,112,513,"1,659"
Queens,081,QN03,Springfield Gardens South-Brookville,"20,132",397,"17,018",66,385,5,101,422,"1,738"
Queens,081,QN05,Rosedale,"25,063","1,334","20,033",82,556,0,242,474,"2,342"
Queens,081,QN06,Jamaica Estates-Holliswood,"25,480","6,371","7,021",126,"6,617",20,639,"1,015","3,671"
Queens,081,QN07,Hollis,"20,269",460,"12,973",126,"2,167",20,974,876,"2,673"
Queens,081,QN08,St. Albans,"48,593",469,"43,073",129,417,16,258,"1,085","3,146"
Queens,081,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,"28,018","21,946","2,095",29,595,8,66,259,"3,020"
Queens,081,QN12,Hammels-Arverne-Edgemere,"36,885","5,722","20,168",105,"1,029",11,307,831,"8,712"
Queens,081,QN15,Far Rockaway-Bayswater,"50,058","12,778","22,400",175,931,44,504,860,"12,366"
Queens,081,QN17,Forest Hills,"83,728","48,822","2,086",63,"20,233",22,373,"1,719","10,410"
Queens,081,QN18,Rego Park,"28,260","13,068",698,41,"8,966",7,124,674,"4,682"
Queens,081,QN19,Glendale,"32,496","19,793",384,67,"1,004",5,78,310,"10,855"
Queens,081,QN20,Ridgewood,"69,317","27,558","1,380",93,"5,331",19,204,765,"33,967"
Queens,081,QN21,Middle Village,"37,929","28,071",354,31,"3,059",7,89,314,"6,004"
Queens,081,QN22,Flushing,"72,008","6,831","3,016",74,"49,830",59,172,"1,303","10,723"
Queens,081,QN23,College Point,"24,275","7,757",551,26,"6,774",2,97,402,"8,666"
Queens,081,QN25,Corona,"57,658","4,851","7,845",130,"7,346",9,280,723,"36,474"
Queens,081,QN26,North Corona,"52,037",929,"2,566",67,"3,597",5,351,259,"44,263"
Queens,081,QN27,East Elmhurst,"23,150","1,092","5,869",46,"1,023",14,146,269,"14,691"
Queens,081,QN28,Jackson Heights,"108,152","18,567","2,210",145,"23,781",9,583,"1,736","61,121"
Queens,081,QN29,Elmhurst,"88,427","5,870","1,140",133,"38,699",28,338,"1,423","40,796"
Queens,081,QN30,Maspeth,"30,516","18,080",253,31,"3,676",1,115,245,"8,115"
Queens,081,QN31,Hunters Point-Sunnyside-West Maspeth,"63,271","22,424","1,588",109,"15,390",29,395,"1,342","21,994"
Queens,081,QN33,Cambria Heights,"18,677",259,"16,862",42,157,6,62,325,964
Queens,081,QN34,Queens Village,"52,504","3,304","26,376",279,"8,424",64,"2,066","2,320","9,671"
Queens,081,QN35,Briarwood-Jamaica Hills,"39,138","8,400","4,489",139,"14,144",29,774,"1,493","9,670"
Queens,081,QN37,Kew Gardens Hills,"37,479","20,184","2,839",63,"7,500",20,156,"1,169","5,548"
